sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
1178	TT6B	TT6B/g2/r22	scenario	group 2 @ 0xAF60; record 22	group-compressed	うし「そりゃ くえねえど」	うし「そりゃ くえねえど」	ushi「sorya kueneedo」	うし「そりゃ くえねえど」	Cow: Not edible.	Cow: Not edible.			yes	hiragana:10; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1179	TT6B	TT6B/g2/r23	scenario	group 2 @ 0xAF60; record 23	group-compressed	{CTRL:0}おれ「うむ たしかに…」	⟦CTRL:0⟧ おれ「うむ たしかに…」	 / ore「umu tashikani…」	おれ「うむ たしかに…」	{CTRL:0}Me: Indeed...	⟦CTRL:0⟧ Me: Indeed...	0	0	yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1180	TT6B	TT6B/g2/r24	scenario	group 2 @ 0xAF60; record 24	group-compressed	めすうま「げんき いいのね」	めすうま「げんき いいのね」	mesuuma「genki iinone」	めすうま「げんき いいのね」	Mare: You are lively.	Mare: You are lively.			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1181	TT6B	TT6B/g2/r25	scenario	group 2 @ 0xAF60; record 25	group-compressed	あしが とどかない	あしが とどかない	ashiga todokanai	あしが とどかない	My legs cannot reach.	My legs cannot reach.			yes	hiragana:8; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1182	TT6B	TT6B/g2/r26	scenario	group 2 @ 0xAF60; record 26	group-compressed	おれ「でへへへー」{CTRL:1}めすうま「……」	おれ「でへへへー」 ⟦CTRL:1⟧ めすうま「……」	ore「dehehehee」 / mesuuma「……」	おれ「でへへへー」めすうま「……」	Me: Heh heh heh...{CTRL:1}Mare: ...	Me: Heh heh heh... ⟦CTRL:1⟧ Mare: ...	1	1	yes	hiragana:10; katakana:1; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1183	TT6B	TT6B/g2/r27	scenario	group 2 @ 0xAF60; record 27	group-compressed	めすうま「ありがとう」	めすうま「ありがとう」	mesuuma「arigatou」	めすうま「ありがとう」	Mare: Thank you.	Mare: Thank you.			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1184	TT6B	TT6B/g2/r28	scenario	group 2 @ 0xAF60; record 28	group-compressed	めすうま「あら わかる！ これ… えるされむで{CTRL:0} はやりの かっとなのよ ふふふ…」	めすうま「あら わかる！ これ… えるされむで ⟦CTRL:0⟧  はやりの かっとなのよ ふふふ…」	mesuuma「ara wakaru！ kore… erusaremude /  hayarino kattonanoyo fufufu…」	めすうま「あら わかる！ これ… えるされむで はやりの かっとなのよ ふふふ…」	Mare: You noticed? This{CTRL:0}cut is hot in Jerusalem.	Mare: You noticed? This ⟦CTRL:0⟧ cut is hot in Jerusalem.	0	0	yes	hiragana:30; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		えるされむ → エルサレム (Jerusalem) | わかる → 分かる	ellipsis carries timing/hesitation tone	low		
1185	TT6B	TT6B/g2/r29	scenario	group 2 @ 0xAF60; record 29	group-compressed	おれ「ひひーん／」{CTRL:1}めすうま「……」	おれ「ひひーん／」 ⟦CTRL:1⟧ めすうま「……」	ore「hihiin／」 / mesuuma「……」	おれ「ひひーん／」めすうま「……」	Me: Hee-haw!{CTRL:1}Mare: ...	Me: Hee-haw! ⟦CTRL:1⟧ Mare: ...	1	1	yes	hiragana:9; katakana:1; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1186	TT6C	TT6C/g0/r0	scenario	group 0 @ 0xAD24; record 0	group-compressed	……「やったぞ おとこのこだ／」{CTRL:0}……「あなた……」	……「やったぞ おとこのこだ／」 ⟦CTRL:0⟧ ……「あなた……」	……「yattazo otokonokoda／」 / ……「anata……」	……「やったぞ おとこのこだ／」……「あなた……」	Man: A boy! We did it!{CTRL:0}Woman: My dear...	Man: A boy! We did it! ⟦CTRL:0⟧ Woman: My dear...	0	0	yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		おとこのこ → 男の子	ellipsis carries timing/hesitation tone	low		
1187	TT6C	TT6C/g0/r1	scenario	group 0 @ 0xAD24; record 1	group-compressed	ん／！ なんだ	ん／！ なんだ	n／！ nanda	ん／！ なんだ	Huh?! What now?	Huh?! What now?			yes	hiragana:4; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1188	TT6C	TT6C/g0/r2	scenario	group 0 @ 0xAD24; record 2	group-compressed	"あくま「ながいあいだの くつじょくをたえて{CTRL:0} わしはよみがえり そして かこへもどってきた{CTRL:2} あのときのふくしゅうを はたしに……」{CTRL:6}よせふ「……」{CTRL:3}ばるたざーる「そうはいかないぞ あくまよ」{CTRL:4}あくま「！」{CTRL:3}めるきおーる「われわれは おまえのくることを{CTRL:4} よちしていた…… すくいぬしのいのちをねらう{CTRL:4} じゃあくなるものの そんざいを……」{CTRL:3}あくま「なんだと／！」{CTRL:3}かすぱる「ふたたびやみのなかへ まいもどるがよい{CTRL:4} この ""まふうじのつぼ"" へ／」"	"あくま「ながいあいだの くつじょくをたえて ⟦CTRL:0⟧  わしはよみがえり そして かこへもどってきた ⟦CTRL:2⟧  あのときのふくしゅうを はたしに……」 ⟦CTRL:6⟧ よせふ「……」 ⟦CTRL:3⟧ ばるたざーる「そうはいかないぞ あくまよ」 ⟦CTRL:4⟧ あくま「！」 ⟦CTRL:3⟧ めるきおーる「われわれは おまえのくることを ⟦CTRL:4⟧  よちしていた…… すくいぬしのいのちをねらう ⟦CTRL:4⟧  じゃあくなるものの そんざいを……」 ⟦CTRL:3⟧ あくま「なんだと／！」 ⟦CTRL:3⟧ かすぱる「ふたたびやみのなかへ まいもどるがよい ⟦CTRL:4⟧  この ""まふうじのつぼ"" へ／」"	"akuma「nagaiaidano kutsujokuotaete /  washihayomigaeri soshite kakohemodottekita /  anotokinofukushuuo hatashini……」 / yosefu「……」 / barutazaaru「souhaikanaizo akumayo」 / akuma「！」 / merukiooru「warewareha omaenokurukotoo /  yochishiteita…… sukuinushinoinochionerau /  jaakunarumonono sonzaio……」 / akuma「nandato／！」 / kasuparu「futatabiyaminonakahe maimodorugayoi /  kono ""mafuujinotsubo"" he／」"	"あくま「ながいあいだの くつじょくをたえて わしはよみがえり そして かこへもどってきた あのときのふくしゅうを はたしに……」よせふ「……」ばるたざーる「そうはいかないぞ あくまよ」あくま「！」めるきおーる「われわれは おまえのくることを よちしていた…… すくいぬしのいのちをねらう じゃあくなるものの そんざいを……」あくま「なんだと／！」かすぱる「ふたたびやみのなかへ まいもどるがよい この ""まふうじのつぼ"" へ／」"	Devil: Long I endured{CTRL:0}humiliation. Reborn, I{CTRL:2}went back for revenge!{CTRL:6}Joseph: ...{CTRL:3}Balthazar: No, Devil.{CTRL:4}Devil: !{CTRL:3}Melchior: We foresaw{CTRL:4}your coming, evil one.{CTRL:4}You want the savior dead{CTRL:3}Devil: What?!{CTRL:3}Caspar: Back to darkness{CTRL:4}inside this Sealing Jar!	Devil: Long I endured ⟦CTRL:0⟧ humiliation. Reborn, I ⟦CTRL:2⟧ went back for revenge! ⟦CTRL:6⟧ Joseph: ... ⟦CTRL:3⟧ Balthazar: No, Devil. ⟦CTRL:4⟧ Devil: ! ⟦CTRL:3⟧ Melchior: We foresaw ⟦CTRL:4⟧ your coming, evil one. ⟦CTRL:4⟧ You want the savior dead ⟦CTRL:3⟧ Devil: What?! ⟦CTRL:3⟧ Caspar: Back to darkness ⟦CTRL:4⟧ inside this Sealing Jar!	0,2,6,3,4,3,4,4,3,3,4	0,2,6,3,4,3,4,4,3,3,4	yes	hiragana:168; katakana:2; kanji:0; Latin:0; digits:0	わし: elderly or authoritative masculine first person; character voice, not necessarily regional | おまえ: familiar or rough second person; relationship and tone matter | じゃ: old-person/western-style copula; context decides voice versus region	あくま → 悪魔 | いのち → 命 | かこ → 過去	ellipsis carries timing/hesitation tone	medium		
1189	TT6C	TT6C/g0/r3	scenario	group 0 @ 0xAD24; record 3	group-compressed	ゆかにおいたつぼに てをのばしたとき……{CTRL:0}あくま「うごくな／」	ゆかにおいたつぼに てをのばしたとき…… ⟦CTRL:0⟧ あくま「うごくな／」	yukanioitatsuboni teonobashitatoki…… / akuma「ugokuna／」	ゆかにおいたつぼに てをのばしたとき……あくま「うごくな／」	He reaches for the jar.{CTRL:0}Devil: Do not move!	He reaches for the jar. ⟦CTRL:0⟧ Devil: Do not move!	0	0	yes	hiragana:24; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		あくま → 悪魔	ellipsis carries timing/hesitation tone	low		
1190	TT6C	TT6C/g0/r4	scenario	group 0 @ 0xAD24; record 4	group-compressed	{CTRL:0}{CTRL:0}とつぜんほのおがたちのぼり つぼをつつみこんだ	⟦CTRL:0⟧  ⟦CTRL:0⟧ とつぜんほのおがたちのぼり つぼをつつみこんだ	 /  / totsuzenhonoogatachinobori tsubootsutsumikonda	とつぜんほのおがたちのぼり つぼをつつみこんだ	{CTRL:0}{CTRL:0}Flames engulfed the jar.	⟦CTRL:0⟧  ⟦CTRL:0⟧ Flames engulfed the jar.	0,0	0,0	yes	hiragana:22; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1191	TT6C	TT6C/g0/r5	scenario	group 0 @ 0xAD24; record 5	group-compressed	あくま「わしのまりょくに かなうものなどいない{CTRL:1} たよりの すくいぬしとやらは{CTRL:0} まだ あかんぼうなのだからな……」	あくま「わしのまりょくに かなうものなどいない ⟦CTRL:1⟧  たよりの すくいぬしとやらは ⟦CTRL:0⟧  まだ あかんぼうなのだからな……」	akuma「washinomaryokuni kanaumononadoinai /  tayorino sukuinushitoyaraha /  mada akanbounanodakarana……」	あくま「わしのまりょくに かなうものなどいない たよりの すくいぬしとやらは まだ あかんぼうなのだからな……」	Devil: None rival me!{CTRL:1}Your precious savior{CTRL:0}is still only a baby...	Devil: None rival me! ⟦CTRL:1⟧ Your precious savior ⟦CTRL:0⟧ is still only a baby...	1,0	1,0	yes	hiragana:47; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	わし: elderly or authoritative masculine first person; character voice, not necessarily regional	あくま → 悪魔	ellipsis carries timing/hesitation tone	medium		
1192	TT6C	TT6C/g0/r6	scenario	group 0 @ 0xAD24; record 6	group-compressed	おれには きづいてない……／{CTRL:1}よーーし……／	おれには きづいてない……／ ⟦CTRL:1⟧ よーーし……／	oreniha kizuitenai……／ / yoooshi……／	おれには きづいてない……／よーーし……／	He has not noticed me!{CTRL:1}All right...!	He has not noticed me! ⟦CTRL:1⟧ All right...!	1	1	yes	hiragana:12; katakana:2; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
1193	TT6C	TT6C/g0/r7	scenario	group 0 @ 0xAD24; record 7	group-compressed	おれ「ひひーーん／」{CTRL:1}あくまのしりに おもいきりかみついた	おれ「ひひーーん／」 ⟦CTRL:1⟧ あくまのしりに おもいきりかみついた	ore「hihiiin／」 / akumanoshirini omoikirikamitsuita	おれ「ひひーーん／」あくまのしりに おもいきりかみついた	Me: Hee-haw!{CTRL:1}I bite the Devil's rear.	Me: Hee-haw! ⟦CTRL:1⟧ I bite the Devil's rear.	1	1	yes	hiragana:22; katakana:2; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	あくま → 悪魔		medium		
1194	TT6C	TT6C/g0/r8	scenario	group 0 @ 0xAD24; record 8	group-compressed	{CTRL:0}{CTRL:0}あくま「ぎゃっ／」{CTRL:0}よせふ「かしむ／」{CTRL:4}{CTRL:4}ほのおがきえた／	⟦CTRL:0⟧  ⟦CTRL:0⟧ あくま「ぎゃっ／」 ⟦CTRL:0⟧ よせふ「かしむ／」 ⟦CTRL:4⟧  ⟦CTRL:4⟧ ほのおがきえた／	 /  / akuma「gya／」 / yyosefu「kashimu／」 /  / honoogakieta／	あくま「ぎゃっ／」よせふ「かしむ／」ほのおがきえた／	{CTRL:0}{CTRL:0}Devil: Gyaaah!{CTRL:0}Joseph: Kashim!{CTRL:4}{CTRL:4}The flames vanish!	⟦CTRL:0⟧  ⟦CTRL:0⟧ Devil: Gyaaah! ⟦CTRL:0⟧ Joseph: Kashim! ⟦CTRL:4⟧  ⟦CTRL:4⟧ The flames vanish!	0,0,0,4,4	0,0,0,4,4	yes	hiragana:19; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		あくま → 悪魔		low		
1195	TT6C	TT6C/g0/r9	scenario	group 0 @ 0xAD24; record 9	group-compressed	まりあ「つぼを／」	まりあ「つぼを／」	maria「tsuboo／」	まりあ「つぼを／」	Mary: The jar!	Mary: The jar!			yes	hiragana:6; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1196	TT6C	TT6C/g0/r10	scenario	group 0 @ 0xAD24; record 10	group-compressed	あくま「じゃまをするな／／」	あくま「じゃまをするな／／」	akuma「jamaosuruna／／」	あくま「じゃまをするな／／」	Devil: Do not interfere!	Devil: Do not interfere!			yes	hiragana:10; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	じゃ: old-person/western-style copula; context decides voice versus region	あくま → 悪魔		medium		
1197	TT6C	TT6C/g0/r11	scenario	group 0 @ 0xAD24; record 11	group-compressed	{CTRL:0}おれ「ぎゃひーーーん／／」	⟦CTRL:0⟧ おれ「ぎゃひーーーん／／」	 / ore「gyahiiiin／／」	おれ「ぎゃひーーーん／／」	{CTRL:0}Me: Gya-heee-haw!!	⟦CTRL:0⟧ Me: Gya-heee-haw!!	0	0	yes	hiragana:6; katakana:3; kanji:0; Latin:0; digits:0	おれ: plain-to-rough masculine first person	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
1198	TT6C	TT6C/g0/r12	scenario	group 0 @ 0xAD24; record 12	group-compressed	かすぱる「あくまよ しりぞけ／」{CTRL:0}あくま「／／」	かすぱる「あくまよ しりぞけ／」 ⟦CTRL:0⟧ あくま「／／」	kasuparu「akumayo shirizoke／」 / akuma「／／」	かすぱる「あくまよ しりぞけ／」あくま「／／」	Caspar: Begone, Devil!{CTRL:0}Devil: !!	Caspar: Begone, Devil! ⟦CTRL:0⟧ Devil: !!	0	0	yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		あくま → 悪魔		low		
1199	TT6C	TT6C/g0/r13	scenario	group 0 @ 0xAD24; record 13	group-compressed	よせふ「……ど どうなったんだ！」{CTRL:0}かすぱる「だいじょうぶ あれはぬけがらです{CTRL:0} あくまは そのつぼのなかですよ」{CTRL:6}めるきおーる「とにかく ここをでましょう{CTRL:3} どこか あたたかいところへ……」	よせふ「……ど どうなったんだ！」 ⟦CTRL:0⟧ かすぱる「だいじょうぶ あれはぬけがらです ⟦CTRL:0⟧  あくまは そのつぼのなかですよ」 ⟦CTRL:6⟧ めるきおーる「とにかく ここをでましょう ⟦CTRL:3⟧  どこか あたたかいところへ……」	yosefu「……do dounattanda！」 / kasuparu「daijoubu arehanukegaradesu /  akumaha sonotsubononakadesuyo」 / merukiooru「tonikaku kokoodemashou /  dokoka atatakaitokorohe……」	よせふ「……ど どうなったんだ！」かすぱる「だいじょうぶ あれはぬけがらです あくまは そのつぼのなかですよ」めるきおーる「とにかく ここをでましょう どこか あたたかいところへ……」	Joseph: W-what happened?{CTRL:0}Caspar: Merely a shell.{CTRL:0}The Devil is in the jar.{CTRL:6}Melchior: Let us leave.{CTRL:3}Find somewhere warm...	Joseph: W-what happened? ⟦CTRL:0⟧ Caspar: Merely a shell. ⟦CTRL:0⟧ The Devil is in the jar. ⟦CTRL:6⟧ Melchior: Let us leave. ⟦CTRL:3⟧ Find somewhere warm...	0,0,6,3	0,0,6,3	yes	hiragana:73; katakana:1; kanji:0; Latin:0; digits:0		だいじょうぶ → 大丈夫 | あくま → 悪魔	ellipsis carries timing/hesitation tone	low		
